[2024-11-21 17:56:01,256] INFO - musicbot.entry | In entry.py::MainThread(12096), line 667 in _really_download: Download started:  https://www.youtube.com/watch?v=3S1NmtWDVYk
[2024-11-21 17:56:04,655] INFO - musicbot.entry | In entry.py::MainThread(12096), line 699 in _really_download: Download complete:  https://www.youtube.com/watch?v=3S1NmtWDVYk
[2024-11-21 18:00:23,506] INFO - musicbot.entry | In entry.py::MainThread(12096), line 667 in _really_download: Download started:  https://www.youtube.com/watch?v=i1IKnWDecwA
[2024-11-21 18:00:26,844] INFO - musicbot.entry | In entry.py::MainThread(12096), line 699 in _really_download: Download complete:  https://www.youtube.com/watch?v=i1IKnWDecwA
[2024-11-21 18:03:57,952] INFO - musicbot.entry | In entry.py::MainThread(12096), line 667 in _really_download: Download started:  https://www.youtube.com/watch?v=eEFVxI9lqjU
[2024-11-21 18:04:01,537] INFO - musicbot.entry | In entry.py::MainThread(12096), line 699 in _really_download: Download complete:  https://www.youtube.com/watch?v=eEFVxI9lqjU
[2024-11-21 18:06:44,485] INFO - musicbot.entry | In entry.py::MainThread(12096), line 667 in _really_download: Download started:  https://www.youtube.com/watch?v=Nqqc2FHf9Ug
[2024-11-21 18:06:48,086] INFO - musicbot.entry | In entry.py::MainThread(12096), line 699 in _really_download: Download complete:  https://www.youtube.com/watch?v=Nqqc2FHf9Ug
[2024-11-21 18:11:42,510] INFO - musicbot.entry | In entry.py::MainThread(12096), line 667 in _really_download: Download started:  https://www.youtube.com/watch?v=ZHhqwBwmRkI
[2024-11-21 18:11:45,452] INFO - musicbot.entry | In entry.py::MainThread(12096), line 699 in _really_download: Download complete:  https://www.youtube.com/watch?v=ZHhqwBwmRkI
[2024-11-21 18:16:08,013] INFO - musicbot.entry | In entry.py::MainThread(12096), line 667 in _really_download: Download started:  https://www.youtube.com/watch?v=r6zIGXun57U
[2024-11-21 18:16:10,777] INFO - musicbot.entry | In entry.py::MainThread(12096), line 699 in _really_download: Download complete:  https://www.youtube.com/watch?v=r6zIGXun57U
[2024-11-21 18:19:12,622] INFO - musicbot.entry | In entry.py::MainThread(12096), line 667 in _really_download: Download started:  https://www.youtube.com/watch?v=kRauptdx_Is
[2024-11-21 18:19:15,553] INFO - musicbot.entry | In entry.py::MainThread(12096), line 699 in _really_download: Download complete:  https://www.youtube.com/watch?v=kRauptdx_Is
[2024-11-21 18:22:31,917] INFO - musicbot.entry | In entry.py::MainThread(12096), line 667 in _really_download: Download started:  https://www.youtube.com/watch?v=EIwtr-VqwcM
[2024-11-21 18:22:34,099] INFO - musicbot.entry | In entry.py::MainThread(12096), line 699 in _really_download: Download complete:  https://www.youtube.com/watch?v=EIwtr-VqwcM
[2024-11-21 18:26:57,189] INFO - musicbot.entry | In entry.py::MainThread(12096), line 667 in _really_download: Download started:  https://www.youtube.com/watch?v=aR-KAldshAE
[2024-11-21 18:27:00,002] INFO - musicbot.entry | In entry.py::MainThread(12096), line 699 in _really_download: Download complete:  https://www.youtube.com/watch?v=aR-KAldshAE
[2024-11-21 18:30:24,438] INFO - musicbot.entry | In entry.py::MainThread(12096), line 667 in _really_download: Download started:  https://www.youtube.com/watch?v=3S1NmtWDVYk
[2024-11-21 18:30:27,480] INFO - musicbot.entry | In entry.py::MainThread(12096), line 699 in _really_download: Download complete:  https://www.youtube.com/watch?v=3S1NmtWDVYk
[2024-11-21 18:34:45,985] INFO - musicbot.entry | In entry.py::MainThread(12096), line 667 in _really_download: Download started:  https://www.youtube.com/watch?v=3VTkBuxU4yk
[2024-11-21 18:34:49,044] INFO - musicbot.entry | In entry.py::MainThread(12096), line 699 in _really_download: Download complete:  https://www.youtube.com/watch?v=3VTkBuxU4yk
[2024-11-21 18:35:47,189] INFO - musicbot.bot | In bot.py::MainThread(12096), line 7502 in on_disconnect: MusicBot has become disconnected.
[2024-11-21 18:35:48,121] INFO - musicbot.bot | In bot.py::MainThread(12096), line 2017 in on_resumed: MusicBot resumed a session with discord.
[2024-11-21 18:35:48,122] INFO - musicbot.bot | In bot.py::MainThread(12096), line 470 in _auto_join_channels: Checking for channels to auto-join or resume...
[2024-11-21 18:35:48,122] INFO - musicbot.bot | In bot.py::MainThread(12096), line 490 in _auto_join_channels: Found resumable voice channel:  lol  in guild:  Shibe on top
[2024-11-21 18:35:48,123] INFO - musicbot.bot | In bot.py::MainThread(12096), line 540 in _auto_join_channels: Already connected to channel:  lol  in guild:  Shibe on top
[2024-11-21 18:35:48,123] INFO - musicbot.bot | In bot.py::MainThread(12096), line 605 in _auto_join_channels: Finished joining configured channels.
[2024-11-21 18:38:42,798] INFO - musicbot.entry | In entry.py::MainThread(12096), line 667 in _really_download: Download started:  https://www.youtube.com/watch?v=CdZN8PI3MqM
[2024-11-21 18:38:45,763] INFO - musicbot.entry | In entry.py::MainThread(12096), line 699 in _really_download: Download complete:  https://www.youtube.com/watch?v=CdZN8PI3MqM
[2024-11-21 18:42:12,274] INFO - musicbot.entry | In entry.py::MainThread(12096), line 667 in _really_download: Download started:  https://www.youtube.com/watch?v=UOxkGD8qRB4
[2024-11-21 18:42:15,249] INFO - musicbot.entry | In entry.py::MainThread(12096), line 699 in _really_download: Download complete:  https://www.youtube.com/watch?v=UOxkGD8qRB4
[2024-11-21 18:45:40,935] INFO - musicbot.entry | In entry.py::MainThread(12096), line 667 in _really_download: Download started:  https://www.youtube.com/watch?v=S19UcWdOA-I
[2024-11-21 18:45:44,003] INFO - musicbot.entry | In entry.py::MainThread(12096), line 699 in _really_download: Download complete:  https://www.youtube.com/watch?v=S19UcWdOA-I
[2024-11-21 18:49:00,726] INFO - musicbot.entry | In entry.py::MainThread(12096), line 667 in _really_download: Download started:  https://www.youtube.com/watch?v=Zasx9hjo4WY
[2024-11-21 18:49:03,731] INFO - musicbot.entry | In entry.py::MainThread(12096), line 699 in _really_download: Download complete:  https://www.youtube.com/watch?v=Zasx9hjo4WY
[2024-11-21 18:52:52,808] INFO - musicbot.entry | In entry.py::MainThread(12096), line 667 in _really_download: Download started:  https://www.youtube.com/watch?v=AnMhdn0wJ4I
[2024-11-21 18:52:55,934] INFO - musicbot.entry | In entry.py::MainThread(12096), line 699 in _really_download: Download complete:  https://www.youtube.com/watch?v=AnMhdn0wJ4I
[2024-11-21 18:56:27,149] INFO - musicbot.entry | In entry.py::MainThread(12096), line 667 in _really_download: Download started:  https://www.youtube.com/watch?v=liPu1_aPH5k
[2024-11-21 18:56:30,195] INFO - musicbot.entry | In entry.py::MainThread(12096), line 699 in _really_download: Download complete:  https://www.youtube.com/watch?v=liPu1_aPH5k
[2024-11-21 19:00:06,909] INFO - musicbot.entry | In entry.py::MainThread(12096), line 667 in _really_download: Download started:  https://www.youtube.com/watch?v=U9pGr6KMdyg
[2024-11-21 19:00:10,092] INFO - musicbot.entry | In entry.py::MainThread(12096), line 699 in _really_download: Download complete:  https://www.youtube.com/watch?v=U9pGr6KMdyg
[2024-11-21 19:03:39,998] INFO - musicbot.bot | In bot.py::MainThread(12096), line 7502 in on_disconnect: MusicBot has become disconnected.
[2024-11-21 19:03:40,933] INFO - musicbot.bot | In bot.py::MainThread(12096), line 2017 in on_resumed: MusicBot resumed a session with discord.
[2024-11-21 19:03:40,933] INFO - musicbot.bot | In bot.py::MainThread(12096), line 470 in _auto_join_channels: Checking for channels to auto-join or resume...
[2024-11-21 19:03:40,933] INFO - musicbot.bot | In bot.py::MainThread(12096), line 490 in _auto_join_channels: Found resumable voice channel:  lol  in guild:  Shibe on top
[2024-11-21 19:03:40,933] INFO - musicbot.bot | In bot.py::MainThread(12096), line 540 in _auto_join_channels: Already connected to channel:  lol  in guild:  Shibe on top
[2024-11-21 19:03:40,933] INFO - musicbot.bot | In bot.py::MainThread(12096), line 605 in _auto_join_channels: Finished joining configured channels.
[2024-11-21 19:03:54,780] INFO - musicbot.entry | In entry.py::MainThread(12096), line 667 in _really_download: Download started:  https://www.youtube.com/watch?v=L-VMCv4Y9l8
[2024-11-21 19:03:57,861] INFO - musicbot.entry | In entry.py::MainThread(12096), line 699 in _really_download: Download complete:  https://www.youtube.com/watch?v=L-VMCv4Y9l8
[2024-11-21 19:07:44,818] INFO - musicbot.entry | In entry.py::MainThread(12096), line 667 in _really_download: Download started:  https://www.youtube.com/watch?v=C3GouGa0noM
[2024-11-21 19:07:48,209] INFO - musicbot.entry | In entry.py::MainThread(12096), line 699 in _really_download: Download complete:  https://www.youtube.com/watch?v=C3GouGa0noM
[2024-11-21 19:12:05,602] INFO - musicbot.entry | In entry.py::MainThread(12096), line 667 in _really_download: Download started:  https://www.youtube.com/watch?v=dj4VoPO-2pE
[2024-11-21 19:12:07,947] INFO - musicbot.entry | In entry.py::MainThread(12096), line 699 in _really_download: Download complete:  https://www.youtube.com/watch?v=dj4VoPO-2pE
[2024-11-21 19:16:05,060] INFO - musicbot.entry | In entry.py::MainThread(12096), line 667 in _really_download: Download started:  https://www.youtube.com/watch?v=fB8TyLTD7EE
[2024-11-21 19:16:08,021] INFO - musicbot.entry | In entry.py::MainThread(12096), line 699 in _really_download: Download complete:  https://www.youtube.com/watch?v=fB8TyLTD7EE
[2024-11-21 19:19:41,020] INFO - musicbot.entry | In entry.py::MainThread(12096), line 667 in _really_download: Download started:  https://www.youtube.com/watch?v=C5fLxtJH2Qs
[2024-11-21 19:19:44,428] INFO - musicbot.entry | In entry.py::MainThread(12096), line 699 in _really_download: Download complete:  https://www.youtube.com/watch?v=C5fLxtJH2Qs
[2024-11-21 19:20:36,920] INFO - musicbot.bot | In bot.py::MainThread(12096), line 7502 in on_disconnect: MusicBot has become disconnected.
[2024-11-21 19:20:37,694] INFO - musicbot.bot | In bot.py::MainThread(12096), line 2017 in on_resumed: MusicBot resumed a session with discord.
[2024-11-21 19:20:37,694] INFO - musicbot.bot | In bot.py::MainThread(12096), line 470 in _auto_join_channels: Checking for channels to auto-join or resume...
[2024-11-21 19:20:37,694] INFO - musicbot.bot | In bot.py::MainThread(12096), line 490 in _auto_join_channels: Found resumable voice channel:  lol  in guild:  Shibe on top
[2024-11-21 19:20:37,694] INFO - musicbot.bot | In bot.py::MainThread(12096), line 540 in _auto_join_channels: Already connected to channel:  lol  in guild:  Shibe on top
[2024-11-21 19:20:37,694] INFO - musicbot.bot | In bot.py::MainThread(12096), line 605 in _auto_join_channels: Finished joining configured channels.
[2024-11-21 19:21:03,706] INFO - musicbot.bot | In bot.py::MainThread(12096), line 7502 in on_disconnect: MusicBot has become disconnected.
[2024-11-21 19:21:03,765] INFO - musicbot.bot | In bot.py::MainThread(12096), line 7502 in on_disconnect: MusicBot has become disconnected.
[2024-11-21 19:21:03,924] INFO - musicbot.bot | In bot.py::MainThread(12096), line 7502 in on_disconnect: MusicBot has become disconnected.
[2024-11-21 19:21:04,729] INFO - musicbot.bot | In bot.py::MainThread(12096), line 7502 in on_disconnect: MusicBot has become disconnected.
[2024-11-21 19:21:09,990] WARNING - musicbot.player | In player.py::MainThread(12096), line 465 in _handle_file_cleanup: Cannot delete file due to a permissions error.
Traceback (most recent call last):
  File "D:\GITHUB\MusicBot\MusicBot\musicbot\player.py", line 458, in _handle_file_cleanup
    os.unlink(filename)
PermissionError: [WinError 32] The process cannot access the file because it is being used by another process: 'D:\\GITHUB\\MusicBot\\MusicBot\\audio_cache\\youtube-C5fLxtJH2Qs-Egzod_Maestro_Chives_-_Royalty_ft._Neoni_Trap_NCS_-_Copyright_Free_Music-NA.webm'
[2024-11-21 19:21:09,991] WARNING - musicbot.player | In player.py::MainThread(12096), line 465 in _handle_file_cleanup: Cannot delete file due to a permissions error.
